Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,3.189000,3.191000,3.127000,3.133000,3.133000,0
2018-10-12,3.167000,3.173000,3.131000,3.141000,3.141000,0
2018-10-15,3.161000,3.165000,3.143000,3.163000,3.163000,0
2018-10-16,3.173000,3.177000,3.154000,3.156000,3.156000,0
2018-10-17,3.158000,3.179000,3.146000,3.179000,3.179000,0
2018-10-18,3.207000,3.215000,3.160000,3.175000,3.175000,0
2018-10-19,3.194000,3.209000,3.181000,3.198000,3.198000,0
2018-10-22,3.190000,3.198000,3.179000,3.196000,3.196000,0
2018-10-23,3.149000,3.166000,3.111000,3.166000,3.166000,0
2018-10-24,3.145000,3.147000,3.117000,3.124000,3.124000,0
2018-10-25,3.143000,3.145000,3.117000,3.136000,3.136000,0
2018-10-26,3.089000,3.102000,3.059000,3.077000,3.077000,0
2018-10-29,3.094000,3.117000,3.085000,3.087000,3.087000,0
2018-10-30,3.117000,3.123000,3.094000,3.110000,3.110000,0
2018-10-31,3.149000,3.161000,3.134000,3.159000,3.159000,0
2018-11-01,3.164000,3.174000,3.136000,3.144000,3.144000,0
2018-11-02,3.155000,3.216000,3.155000,3.214000,3.214000,0
2018-11-05,3.203000,3.205000,3.186000,3.201000,3.201000,0
2018-11-06,3.193000,3.224000,3.191000,3.214000,3.214000,0
2018-11-07,3.200000,3.215000,3.184000,3.213000,3.213000,0
2018-11-08,3.219000,3.239000,3.206000,3.234000,3.234000,0
2018-11-09,3.213000,3.230000,3.180000,3.189000,3.189000,0
